Designator,Mid X,Mid Y,Rotation,Layer
12V0,105.599948,-101.75,0.0,top
3V3,90.899948,-89.45,0.0,top
C1,110.999948,-100.75,0.0,top
C10,103.599948,-82.75,0.0,bottom
C11,103.399948,-85.75,90.0,bottom
C12,103.249948,-95.25,270.0,bottom
C13,94.749948,-96.0,180.0,top
C14,93.424948,-81.65,180.0,bottom
C15,101.749948,-95.25,270.0,bottom
C16,94.749948,-96.0,0.0,bottom
C17,88.399948,-81.55,90.0,top
C18,87.499948,-84.0,180.0,top
C19,97.199948,-97.75,270.0,bottom
C2,117.774948,-100.75,0.0,top
C20,95.499948,-103.15,90.0,bottom
C21,98.749948,-86.75,270.0,top
C22,86.799948,-81.55,90.0,top
C23,87.499948,-84.0,0.0,bottom
C24,91.9,-101.85,0.0,bottom
C25,132.75,-103.625,0.0,bottom
C26,99.4,-79.6,0.0,top
C27,99.4,-78.05,0.0,top
C28,99.4,-76.475,0.0,top
C29,99.45,-74.75,0.0,top
C3,124.549948,-100.75,0.0,top
C30,94.275,-73.825,90.0,top
C31,92.625,-73.825,90.0,top
C32,91.0,-73.825,90.0,top
C33,89.375,-73.825,90.0,top
C4,111.399948,-84.85,180.0,top
C5,125.599948,-84.75,180.0,top
C6,131.574948,-100.75,0.0,top
C7,118.599948,-84.75,180.0,top
C8,132.799948,-84.75,180.0,top
C9,99.999948,-82.75,180.0,bottom
CH0,108.5,-90.0,0.0,bottom
CH1,112.5,-90.0,0.0,bottom
CH2,117.0,-90.0,0.0,bottom
CH3,119.5,-90.0,0.0,bottom
CH4,122.5,-90.0,0.0,bottom
CH5,126.5,-90.0,0.0,bottom
CH6,130.0,-90.0,0.0,bottom
CH7,133.5,-90.0,0.0,bottom
D1,88.899948,-102.0125,270.0,top
DAC0,106.999948,-96.95,0.0,top
DAC1,107.0,-89.55,0.0,top
DAC2,115.399948,-95.95,0.0,top
DAC3,118.399948,-90.55,0.0,top
DAC4,121.199948,-95.15,0.0,top
DAC5,124.999948,-90.95,0.0,top
DAC6,128.999948,-95.15,0.0,top
DAC7,131.599948,-91.55,0.0,top
FID1,87.1,-67.8,0.0,top
FID2,134.925,-107.05,0.0,top
J1,114.749948,-113.75,0.0,top
L1,86.799948,-81.55,90.0,bottom
R1,120.4,-80.2,270.0,top
R10,112.4,-80.2,270.0,top
R11,130.0,-80.2,270.0,top
R12,126.8,-80.2,270.0,top
R13,115.6,-80.2,90.0,top
R14,114.0,-80.2,90.0,top
R15,128.4,-80.2,90.0,top
R16,125.2,-80.2,90.0,top
R17,88.899948,-102.025,90.0,bottom
R18,91.8,-104.75,180.0,top
R19,113.574948,-97.75,90.0,top
R2,109.2,-80.2,270.0,top
R20,120.774948,-97.75,90.0,top
R21,127.199948,-97.75,90.0,top
R22,108.799948,-87.75,270.0,top
R23,134.199948,-97.75,90.0,top
R24,122.999948,-87.75,270.0,top
R25,115.799948,-87.75,270.0,top
R26,129.999948,-87.75,270.0,top
R27,88.399948,-81.525,90.0,bottom
R28,99.4,-79.6,180.0,bottom
R29,99.4,-78.05,180.0,bottom
R3,133.2,-80.2,270.0,top
R30,99.4,-76.475,180.0,bottom
R31,99.45,-74.75,180.0,bottom
R32,94.275,-73.825,90.0,bottom
R33,92.625,-73.825,90.0,bottom
R34,91.0,-73.825,90.0,bottom
R35,89.375,-73.825,90.0,bottom
R4,123.6,-80.2,270.0,top
R5,118.8,-80.2,90.0,top
R6,110.8,-80.2,90.0,top
R7,131.6,-80.2,90.0,top
R8,122.0,-80.2,90.0,top
R9,117.2,-80.2,270.0,top
U0,111.399948,-87.55,180.0,top
U1,110.974948,-97.95,0.0,top
U10,103.499948,-84.915,90.0,top
U11,93.462448,-81.325,90.0,top
U13,110.55,-74.625,0.0,top
U14,116.75,-74.625,0.0,top
U15,123.5,-74.625,0.0,top
U16,129.95,-74.625,0.0,top
U2,118.599948,-87.55,180.0,top
U20,98.562448,-94.8625,90.0,top
U3,117.974948,-97.95,0.0,top
U4,125.599948,-87.55,180.0,top
U5,124.549948,-97.95,0.0,top
U6,132.799948,-87.55,180.0,top
U7,131.574948,-97.95,0.0,top
U8,98.599948,-102.55,90.0,top
U9,91.8,-102.0125,270.0,top
VREF1,96.999948,-90.25,0.0,top
