Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_SMD,1,RaspberryPi_Pico,C7203003
"C1, C10, C2, C3, C4",0603,5,0.1uF,C14663
C5,1210,1,10uF,C77102
C6,0805,1,22uF,C45783
C7,CP_Elec_8x10,1,220uF,C125981
"C8, C9",0805,2,10uF,C84416
D1,D_SMA,1,SS34,C8678
D2,D_SMB,1,SMBJ16A,C151254
"D3, D4, D5",0603,3,LED,C157740
D6,D_SOD-123,1,BZT52C18,C192739
F1,1812,1,1812L150/24MR,C142805
"J1, J2, J3, J4, J5, J6, J7, J8",SAMTEC_PCIE-064-02-X-D-TH,8,PCIE-064-02-F-D-TH,C4597619
"J10, J11, J9",Hirose_FH12-50S-0.5SH_1x50-1MP_P0.50mm_Horizontal,3,Conn_01x50_MountingPin,C202116
J12,BarrelJack_Horizontal,1,Barrel_Jack_Switch_Pin3Ring,C84007
J13,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,C32713268
Q1,SOT-23,1,AO3407A,C15155
"R1, R5, R6",0805,3,100k,C96346
R10,0805,1,22k,C114565
"R2, R8",0805,2,4.7k,C431850
R3,0805,1,1.5k,C4310
R4,0805,1,680,C17798
"R7, R9",0805,2,10k,C84376
"U1, U5",TSSOP-16_4.4x5mm_P0.65mm,2,SN74HC138PWR,C157527
U2,TSSOP-16_4.4x5mm_P0.65mm,1,TMUX1208PW,C494728
U3,TSSOP-16_4.4x5mm_P0.65mm,1,SN74LV595,C116847
U4,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,LP5912-3.3DRV,C524780
U6,Converter_DCDC_TRACO_TSR-1_THT,1,K7805-500R3,C19188491
