Designator,Mid X,Mid Y,Rotation,Layer
A1,206.53,-114.925,270.0,top
C1,136.0,-117.225,90.0,top
C2,146.65,-111.75,270.0,top
C3,125.0,-111.5,270.0,top
C4,156.945,-112.0,270.0,top
C5,103.75,-123.75,180.0,top
C6,103.729543,-108.4,180.0,top
C7,112.0,-123.75,90.0,top
C8,109.5,-114.6,90.0,top
C9,116.25,-115.6,0.0,top
D1,103.729543,-113.15,90.0,top
D2,85.75,-112.35,90.0,top
D3,120.6625,-129.5,180.0,top
D4,120.5375,-125.5,180.0,top
D5,120.4625,-121.25,180.0,top
F1,85.75,-122.75,270.0,top
FID1,85.0,-49.6,0.0,top
FID2,225.6,-130.0,0.0,top
J1,220.25,-75.5895,270.0,top
J10,157.5,-50.0,180.0,top
J11,105.0,-50.0,180.0,top
J12,96.1,-124.875,90.0,top
J13,85.25,-102.73,0.0,top
J2,202.178571,-75.5895,270.0,top
J3,184.107143,-75.5895,270.0,top
J4,166.035714,-75.5895,270.0,top
J5,147.964286,-75.5895,270.0,top
J6,129.892857,-75.5895,270.0,top
J7,111.821429,-75.5895,270.0,top
J8,93.75,-75.5895,270.0,top
J9,210.0,-50.0,180.0,top
Q1,101.5,-119.0,0.0,top
R1,105.25,-120.0,0.0,top
R2,120.6625,-127.5,0.0,top
R3,120.5375,-123.5,0.0,top
R4,120.5,-119.25,0.0,top
R6,116.225,-113.325,180.0,top
R7,217.5,-129.5,90.0,top
R8,214.5,-129.5,270.0,top
U1,151.225,-114.5,0.0,top
U2,161.225,-114.5,0.0,top
U3,140.25,-114.5,180.0,top
U4,112.6125,-114.325,180.0,top
U5,129.5,-114.5,0.0,top
U6,95.1075,-113.1825,0.0,top
