Section,Designators (per board),Description,Value / Part,Package,Qty per board,Qty system,Unit price USD,Ext price USD,Notes
"Daughterboard (x8)","U0-U7",Precision current-source front end,XTR200,WSON-10 2x3mm,8,64,1.456,93.18,"66 ordered (64 populated + 2 spares); spares add $2.91"
"Daughterboard (x8)",U11,24-bit sigma-delta ADC (8-ch readout),AD7193,TSSOP-28,1,8,18.13,145.04,
"Daughterboard (x8)",U20,16-bit 8-ch DAC,DAC80508Z,WQFN-16 3x3mm,1,8,15.50,124.00,
"Daughterboard (x8)",U10,3.0 V precision voltage reference,REF5030EIDR,SOIC-8,1,8,6.00,48.00,One per board; shared by that board's DAC + ADC (no 9th ref on controller)
"Daughterboard (x8)",U8,Parallel-load 8-bit shift register,SN74LV165ADBR,TSSOP-16,1,8,0.461,3.69,Mouser 595-SN74LV165ADBR (cut tape)
"Daughterboard (x8)","R19-R26",Per-channel precision resistor (0.1% thin film),4.7k (RS PRO RSTNF03BTC4701),0603,8,64,0.067,4.28,RS part (0.646 kr); schematic value now correctly reads 4.7k
"Daughterboard (x8)","R1-R4, R9-R12, R17",Sense divider top (6:1) + jellybean,100k,0603,9,72,TBD,,"2026-07-27 revision: footprint changed 0402->0603, merging the priced RS 0402 divider group with the jellybean R17; old RS 243-0436 part no longer matches footprint, needs requote"
"Daughterboard (x8)","R5-R8, R13-R16",Sense divider bottom (6:1) 0.1% thin film,20k,0603,8,64,TBD,,"2026-07-27 revision: footprint changed 0402->0603; old RS TRSTNF02BTCY2002 part no longer matches footprint, needs requote"
"Daughterboard (x8)",R18,"1-Wire bus pull-up (new, pairs with U9)",2.7k,0603,1,8,TBD,,"New 2026-07-27: added alongside U9 AT21CS01, likely pull-up for its 1-Wire DATA line - confirm purpose/part"
"Daughterboard (x8)",R27,Resistor,1.5,0603,1,8,TBD,,Jellybean passive
"Daughterboard (x8)","C1-C8, C10, C12, C14-C15, C17-C22, C24",Decoupling capacitor MLCC 50V,100nF (Wurth 885012206095R),0603,19,152,0.045,6.84,RS 257-1100 (0.431 kr); C24 added 2026-07-27
