Section,Designators (per board),Description,Value / Part,Package,Qty per board,Qty system,Unit price USD,Ext price USD,Notes,LCSC part no,LCSC MPN,LCSC package,LCSC stock,LCSC unit price USD,LCSC ext price USD,LCSC notes
"Daughterboard (x8)","U0-U7",Precision current-source front end,XTR200,WSON-10 2x3mm,8,64,1.456,93.18,"66 ordered (64 populated + 2 spares); spares add $2.91",NOT STOCKED,XTR200DQCR,WSON-10 (2x3),0,,,"LCSC does not carry XTR200 (only XTR111/115/116/117). Buy from TI/DigiKey/Mouser. Keep the existing $1.456 line."
"Daughterboard (x8)",U11,24-bit sigma-delta ADC (8-ch readout),AD7193,TSSOP-28,1,8,18.13,145.04,,C125128,AD7193BRUZ-REEL,TSSOP-28,43,16.0835,128.67,"Tier 1+; 10+ = $15.4444, 30+ = $13.9237, 100+ = $12.9592. Only 43 in stock -> buy the 8 in one go. Saves $16.37 vs current BOM."
"Daughterboard (x8)",U20,16-bit 8-ch DAC,DAC80508Z,WQFN-16 3x3mm,1,8,15.50,124.00,,C2679499,DAC80508ZRTER,WQFN-16-EP(3x3),156,16.0553,128.44,"DECIDED 2026-07-30: next board spin uses the ZR variant (this part), not the current ZCRTER. *** SCHEMATIC CHANGE REQUIRED: pin 15 is SDO on ZR, not CLR - it must no longer be tied high (an output shorted to VDD). Optionally route it to a Pico GPIO to make the DAC bus readable. Tiers: 10+ $15.3359, 30+ $14.0917, 100+ $13.0046."
"Daughterboard (x8)",U10,3.0 V precision voltage reference,REF5030EIDR,SOIC-8,1,8,6.00,48.00,One per board; shared by that board's DAC + ADC (no 9th ref on controller),C69362,REF5030AIDR,SOIC-8,484,1.1536,9.23,"*** BIG SAVING: $38.77 vs the $6.00 BOM line. Grade check: LCSC has the A grade (+/-0.1% initial, 8 ppm/C max). BOM says 'REF5030EIDR' which is not a TI suffix - confirm whether you need the tighter I grade. Tiers: 10+ $0.9284, 100+ $0.6756."
"Daughterboard (x8)",U8,Parallel-load 8-bit shift register,SN74LV165ADBR,TSSOP-16,1,8,0.461,3.69,Mouser 595-SN74LV165ADBR (cut tape),C201716,SN74LV165APWR,TSSOP-16,860,0.3604,2.88,"BOM MPN says ADBR = SSOP-16 but the package column says TSSOP-16; LCSC's PWR is the TSSOP-16 part, which matches the footprint. MOQ 5. Tiers: 50+ $0.2825, 150+ $0.2491."
"Daughterboard (x8)","R19-R26",Per-channel precision resistor (0.1% thin film),4.7k (RS PRO RSTNF03BTC4701),0603,8,64,0.067,4.28,RS part (0.646 kr); schematic value now correctly reads 4.7k,C855887,AT0603BRD074K7L,0603,OUT OF STOCK,0.0804,5.15,"YAGEO AT series (+/-0.1%, 25 ppm/C) - LCSC lists it under 'Pre-ordered RLCs' and the product page reports out of stock; lead time applies. LCSC does NOT carry RT0603BRD074K7L. RS part is cheaper and in stock - consider keeping RS for this line."
"Daughterboard (x8)","R1-R4, R9-R12, R17",Sense divider top (6:1) + jellybean,100k,0603,9,72,TBD,,"2026-07-27 revision: footprint changed 0402->0603, merging the priced RS 0402 divider group with the jellybean R17; old RS 243-0436 part no longer matches footprint, needs requote",C122538,RT0603BRD07100KL,0603,631520,0.0336,2.42,"RESOLVES A TBD. YAGEO RT, +/-0.1%, 25 ppm/C, 100 mW, 75 V. Deep stock. Tiers: 200+ $0.0288, 600+ $0.0267. R17 (jellybean) could use a 1% part instead but at 3.4c it is not worth a second line item."
"Daughterboard (x8)","R5-R8, R13-R16",Sense divider bottom (6:1) 0.1% thin film,20k,0603,8,64,TBD,,"2026-07-27 revision: footprint changed 0402->0603; old RS TRSTNF02BTCY2002 part no longer matches footprint, needs requote",C723637,RT0603BRD0720KL,0603,OUT OF STOCK,0.0316,2.02,"RESOLVES A TBD (price) but *** OUT OF STOCK at LCSC. Same RT series/tolerance as the 100k so the divider stays matched (both +/-0.1%, 25 ppm/C) - worth waiting for or second-sourcing rather than mixing series. Tiers: 200+ $0.0259, 600+ $0.0234."
"Daughterboard (x8)",R18,"1-Wire bus pull-up (new, pairs with U9)",2.7k,0603,1,8,TBD,,"New 2026-07-27: added alongside U9 AT21CS01, likely pull-up for its 1-Wire DATA line - confirm purpose/part",C13167,0603WAF2701T5E,0603,OUT OF STOCK,0.0029,0.29,"RESOLVES A TBD. UNI-ROYAL thick film +/-1%, 100 mW. MOQ 100 so you buy 100 for $0.29. Out of stock at LCSC but this is a commodity value - any 2.7k 1% 0603 works."
"Daughterboard (x8)",R27,Resistor,10,0603,1,8,TBD,,"VALUE CHANGED 1.5 -> 10 ohm 2026-07-30: DVDD filter corner 97 kHz -> 14 kHz for 4.2 mV drop. Schematic + padne directive updated 2026-07-30; PCB still needs Update PCB from Schematic to pick up the value and the LCSC field.",C144117,AF0603JR-0710RL,0603,,,,"RESOLVES A TBD. YAGEO 10 ohm +/-5% 100mW +/-100ppm/C 0603, JLCPCB EXTENDED part. Neither tolerance nor TCR matters here: +/-5% moves the 14.0 kHz corner to 13.3-14.7 kHz, and power is 1.6 uW into a 100 mW part. Alternative C22859 (UNI-ROYAL 0603WAF100JT5E, +/-1%, Basic) is equivalent electrically and would avoid a JLCPCB setup fee. Unit price not captured - commodity, expect <$0.01/pc. WARNING when substituting: 0603WAF1000T5E (C22775) is 100 ohm and 0603WAF1501T5E (C22843) is 1.5k - 'R' is the decimal point, all-numeric codes are digits+multiplier."
